DATE,TOPIC NAME
2026-01-09,Функция вывода - print()
2026-01-12,"Списки, string значения. Методы форматирования строк"
2026-01-16,"Цикл for in, кортеж. Функции: range и type "
2026-01-28,"Пользовательский ввод - input(). Конструкция if else. int, float"
2026-02-11,Конструкция if-elif-else. Словари
2026-02-16,Цикл while. Операторы continue и break. Чётность числа. Флаги true и false
2026-02-18,Функция с ключевым словом def. Параметры
2026-02-26,"Классы и наследование. Файлы, with open"
2026-03-09,Решение задач по химии на Python. Школьная программа
2026-03-13,Решение задач по химии на Python. Вузовская программа
2026-03-19,Запись и перезапись файла. Вводные данные хим. задачи и результат
2026-03-24,Библиотека. CSV-файлы (таблицы)
